closetCleaner Report:
=====================

                     Name |      Count |             Location | Jobs Used                                                                                |                                                    Long Name
               Falcon Eye |          0 |           Wardrobe 4 |                                                                                          |                                                   falcon eye
          Diamond Buckler |          0 |               Safe 2 |                                                                                          |                                              diamond buckler
          Nmd. Moogle Rod |          0 |               Locker |                                                                                          |                                             nomad moogle rod
           Esthete's Coat |          0 |               Safe 2 |                                                                                          |                                               esthete's coat
              Ziamet Khud |          0 |               Safe 2 |                                                                                          |                                                  ziamet khud
       Kam'lanaut's Sword |          0 |               Safe 2 |                                                                                          |                                           Kam'lanaut's sword
                  Reikiko |          0 |           Wardrobe 8 |                                                                                          |                                                      Reikiko
               Chac-chacs |          0 |               Safe 2 |                                                                                          |                                                   chac-chacs
          Heroism Crystal |          0 | Case, Case, Case, Case, Case, Case, Case, Case |                                                                                          |                                              heroism crystal
        Snowslit Stone +1 |          0 |                 Case |                                                                                          |                                            snowslit stone +1
         Riftborn Boulder |          0 |                 Case |                                                                                          |                                             riftborn boulder
                Straw Hat |          0 |               Safe 2 |                                                                                          |                                                    straw hat
             Azrael's Eye |          0 |                 Safe |                                                                                          |                                                 Azrael's eye
            Bukhis's Wing |          0 |               Locker |                                                                                          |                                                Bukhis's wing
          Automat. Oil +2 |          0 |              Satchel |                                                                                          |                                      can of automaton oil +2
            Volte Mittens |          0 |           Wardrobe 8 |                                                                                          |                                                volte mittens
           Rusted I. Card |          0 |           Case, Case |                                                                                          |                                   rusted identification card
            Gyve Trousers |          0 |               Safe 2 |                                                                                          |                                                gyve trousers
          Merlinic Jubbah |          0 |           Wardrobe 8 |                                                                                          |                                              merlinic jubbah
        Moogle's Largesse |          0 |               Locker |                                                                                          |                                            moogle's largesse
            Anahera Saber |          0 |           Wardrobe 8 |                                                                                          |                                                anahera saber
          Glinting Shield |          0 |           Wardrobe 8 |                                                                                          |                                              glinting shield
          Carabosse's Gem |          0 |               Locker |                                                                                          |                                              Carabosse's gem
             Relic Dagger |          0 |            Inventory |                                                                                          |                                                 relic dagger
           Ayapec's Shell |          0 |           Case, Case |                                                                                          |                                               Ayapec's shell
         Endorsement Ring |          0 |               Locker |                                                                                          |                                             endorsement ring
         M. Beetle Saliva |          0 |               Locker |                                                                                          |                                 jar of monarch beetle saliva
         Esthete's Masque |          0 |               Safe 2 |                                                                                          |                                             esthete's masque
               Gold Ingot |          0 |                 Case |                                                                                          |                                                   gold ingot
              Denouements |          0 |               Locker |                                                                                          |                                                  Denouements
              Taming Sari |          0 |             Wardrobe |                                                                                          |                                                  taming sari
           Du. Gr. Coffer |          0 |               Locker |                                                                                          |                                     Durs-Vike's grand coffer
        Ceramic Flowerpot |          0 |                 Safe |                                                                                          |                                            ceramic flowerpot
             Achiuchikapu |          0 |             Wardrobe |                                                                                          |                                                 Achiuchikapu
       Sha Wujing's Lance |          0 |           Wardrobe 7 |                                                                                          |                                           Sha Wujing's lance
             Moval. Water |          0 |           Sack, Sack |                                                                                          |                                   bottle of Movalpolos water
              Ziamet Peti |          0 |               Safe 2 |                                                                                          |                                                  ziamet peti
           Ig. Gr. Coffer |          0 |               Locker |                                                                                          |                                     Ignor-Mnt's grand coffer
               Fu's Scale |          0 |                 Safe |                                                                                          |                                                   Fu's scale
        Atst. of Accuracy |          0 |               Locker |                                                                                          |                                      attestation of accuracy
        Heath. Earring +2 |          0 |           Wardrobe 2 |                                                                                          |                                         heathen's earring +2
              Aern Dagger |          0 |           Wardrobe 7 |                                                                                          |                                                  Aern dagger
              Octahedrite |          0 |                 Case |                                                                                          |                                         chunk of octahedrite
          A. Chit: Leg +1 |          0 |                 Safe |                                                                                          |                                   Ambuscade chit: leggear +1
         Wicce Earring +1 |          0 |           Wardrobe 2 |                                                                                          |                                             wicce earring +1
              Mutsunokami |          0 |           Wardrobe 7 |                                                                                          |                                                  Mutsunokami
           Mtl. Beastcoin |          0 |                 Safe |                                                                                          |                                            mythril beastcoin
           Platinum Ingot |          0 |                 Case |                                                                                          |                                               platinum ingot
               Ocl. Ingot |          0 |                 Case |                                                                                          |                                             orichalcum ingot
                   Remedy |          0 | Inventory, Inventory, Satchel, Satchel, Satchel, Satchel, Satchel, Satchel, Satchel |                                                                                          |                                                       remedy
                    Levin |          0 |           Wardrobe 7 |                                                                                          |                                                        Levin
               Ebon Boots |          0 |               Locker |                                                                                          |                                                   ebon boots
          Brewer's Scutum |          0 |           Wardrobe 7 |                                                                                          |                                              brewer's scutum
              Old I. Card |          0 |                 Case |                                                                                          |                                      old identification card
           Emporox's Ring |          0 |            Inventory |                                                                                          |                                               Emporox's ring
            Twinned Blade |          0 |           Wardrobe 7 |                                                                                          |                                                twinned blade
         MMM Member's Cd. |          0 |                 Case |                                                                                          |                                    Maze Monger member's card
          Camahueto's Fur |          0 |                 Safe |                                                                                          |                                      tuft of Camahueto's fur
             Ebon Pigment |          0 |               Locker |                                                                                          |                                         vial of ebon pigment
            Mythril Ingot |          0 |                 Case |                                                                                          |                                                mythril ingot
              Steel Sheet |          0 | Satchel, Satchel, Satchel, Satchel, Satchel, Satchel, Satchel, Satchel |                                                                                          |                                                  steel sheet
         Chas. Earring +1 |          0 |           Wardrobe 2 |                                                                                          |                                        chasseur's earring +1
                  Epitaph |          0 |           Wardrobe 8 |                                                                                          |                                                      Epitaph
        M. No. 11 Molting |          0 |                 Safe |                                                                                          |                                        Merrow No. 11 molting
          Darksteel Ingot |          0 |                 Case |                                                                                          |                                              darksteel ingot
             Kyou's Scale |          0 |                 Safe |                                                                                          |                                                 Kyou's scale
           Damascus Ingot |          0 |                 Case |                                                                                          |                                               damascus ingot
           Hallowed Water |          0 |                 Sack |                                                                                          |                                     bottle of hallowed water
            Magavan Frock |          0 |               Safe 2 |                                                                                          |                                                magavan frock
         Thureous Earring |          0 |           Wardrobe 8 |                                                                                          |                                             thureous earring
        Comp. Fishing Rod |          0 |             Wardrobe |                                                                                          |                                        composite fishing rod
        Crepuscular Knife |          0 |             Wardrobe |                                                                                          |                                            crepuscular knife
        Hirudinea Earring |          1 |            NOT FOUND | GEO                                                                                      |                                            hirudinea earring
           Karagoz Scarpe |          1 |            NOT FOUND | PUP                                                                                      |                                               karagoz scarpe
          Windbuffet Belt |          1 |            NOT FOUND | MNK                                                                                      |                                              windbuffet belt
             Thew Bomblet |          1 |            NOT FOUND | MNK                                                                                      |                                                 thew bomblet
       Nvrch. Culottes +2 |          1 |            NOT FOUND | COR                                                                                      |                                        navarch's culottes +2
      Lustra. Leggings +1 |          1 |            NOT FOUND | THF                                                                                      |                                        lustratio leggings +1
        Ptero. Fin. G. +3 |          1 |            NOT FOUND | DRG                                                                                      |                              pteroslaver finger gauntlets +3
             Ebers Cap +2 |          1 |            NOT FOUND | WHM                                                                                      |                                                 ebers cap +2
               Agwu's Cap |          1 |           Wardrobe 5 | RUN                                                                                      |                                                   Agwu's cap
        Debilis Medallion |          1 |           Wardrobe 3 | SCH                                                                                      |                                            debilis medallion
           Stone Mufflers |          1 |            NOT FOUND | BST                                                                                      |                                               stone mufflers
             Despair Helm |          1 |            NOT FOUND | BST                                                                                      |                                                 despair helm
        Foire Dastanas +1 |          1 |            NOT FOUND | PUP                                                                                      |                                            foire dastanas +1
             Demon's Ring |          1 |            NOT FOUND | MNK                                                                                      |                                                 demon's ring
            Bunzi's Pants |          1 |           Wardrobe 5 | BRD                                                                                      |                                                Bunzi's pants
              Salire Belt |          1 |            NOT FOUND | BST                                                                                      |                                                  salire belt
            Wayfarer Robe |          1 |            NOT FOUND | MNK                                                                                      |                                                wayfarer robe
         Charmer's Merlin |          1 |            NOT FOUND | BST                                                                                      |                                             charmer's merlin
                    Angon |          1 |            NOT FOUND | DRG                                                                                      |                                                        angon
           Bfn. Collar +1 |          1 |            NOT FOUND | PUP                                                                                      |                                          buffoon's collar +1
         Heishi Shorinken |          1 |             Wardrobe | NIN                                                                                      |                                             Heishi Shorinken
          Yagyu Darkblade |          1 |             Wardrobe | NIN                                                                                      |                                              Yagyu Darkblade
            Geo. Pants +1 |          1 |            NOT FOUND | GEO                                                                                      |                                            geomancy pants +1
         Herculean Gloves |          1 | Wardrobe 6, Wardrobe 6, Wardrobe 6, Wardrobe 8 | RUN                                                                                      |                                             herculean gloves
              Volte Spats |          1 |           Wardrobe 5 | BRD                                                                                      |                                                  volte spats
             Icesoul Ring |          1 |            NOT FOUND | SMN                                                                                      |                                                 icesoul ring
               Mujin Band |          1 |           Wardrobe 4 | BLU                                                                                      |                                                   mujin band
       Kara. Pantaloni +1 |          1 |            NOT FOUND | PUP                                                                                      |                                         karagoz pantaloni +1
         Inyanga Tiara +2 |          1 |            NOT FOUND | WHM                                                                                      |                                             Inyanga tiara +2
           Cirque Earring |          1 |            NOT FOUND | PUP                                                                                      |                                               cirque earring
              Oshosi Mask |          1 |            NOT FOUND | COR                                                                                      |                                                  Oshosi mask
             Bagua Galero |          1 |            NOT FOUND | GEO                                                                                      |                                                 bagua galero
             Amalric Coif |          1 |            NOT FOUND | GEO                                                                                      |                                                 amalric coif
             Rawhide Mask |          1 |           Wardrobe 6 | BLU                                                                                      |                                                 rawhide mask
              Purity Ring |          1 |           Wardrobe 8 | BLU                                                                                      |                                                  purity ring
           Incantor Stone |          1 |            NOT FOUND | PLD                                                                                      |                                               incantor stone
         Paqichikaji Ring |          1 |           Wardrobe 8 | COR                                                                                      |                                             paqichikaji ring
             Divinator II |          1 |           Wardrobe 4 | PUP                                                                                      |                                                 divinator II
              Wind Torque |          1 |            NOT FOUND | BRD                                                                                      |                                                  wind torque
         Mochizuki Hakama |          1 |            NOT FOUND | NIN                                                                                      |                                             mochizuki hakama
          Oshosi Leggings |          1 |            NOT FOUND | COR                                                                                      |                                              Oshosi leggings
            Gavialis Helm |          1 |            NOT FOUND | SAM                                                                                      |                                                gavialis helm
              Amm Greaves |          1 |            NOT FOUND | BST                                                                                      |                                                  amm greaves
         Wurrukatte Boots |          1 |            NOT FOUND | NIN                                                                                      |                                             wurrukatte boots
        Azimuth Tights +1 |          1 |            NOT FOUND | GEO                                                                                      |                                            azimuth tights +1
             Helios Boots |          1 |           Wardrobe 6 | SMN                                                                                      |                                                 helios boots
              Naga Kyahan |          1 |            NOT FOUND | PUP                                                                                      |                                                  naga kyahan
        Nukumi Gausape +1 |          1 |            NOT FOUND | BST                                                                                      |                                            nukumi gausape +1
         Bihu Cannions +1 |          1 |            NOT FOUND | BRD                                                                                      |                                             bihu cannions +1
           Valorous Mitts |          1 |            NOT FOUND | SAM                                                                                      |                                               valorous mitts
           Bagua Mitaines |          1 |            NOT FOUND | GEO                                                                                      |                                               bagua mitaines
                Floestone |          1 |            NOT FOUND | BST                                                                                      |                                                    floestone
           Convo. Doublet |          1 |            NOT FOUND | SMN                                                                                      |                                           convoker's doublet
           Osmium Cuisses |          1 |            NOT FOUND | PLD                                                                                      |                                               osmium cuisses
              Tuilha Cape |          1 |            NOT FOUND | MNK                                                                                      |                                                  tuilha cape
          Mes. Haubergeon |          1 |            NOT FOUND | BST                                                                                      |                                          mes'yohi haubergeon
             Stone Gorget |          1 |            NOT FOUND | BST                                                                                      |                                                 stone gorget
         Atro. Chapeau +1 |          1 |            NOT FOUND | RDM                                                                                      |                                           atrophy chapeau +1
        Sakonji Domaru +3 |          1 |            NOT FOUND | SAM                                                                                      |                                            sakonji domaru +3
            Valorous Hose |          1 |            NOT FOUND | DRG                                                                                      |                                                valorous hose
          Anch. Cyclas +1 |          1 |            NOT FOUND | MNK                                                                                      |                                        anchorite's cyclas +1
           Nvrch. Frac +2 |          1 |            NOT FOUND | COR                                                                                      |                                            navarch's frac +2
         Herald's Gaiters |          1 |            NOT FOUND | WHM                                                                                      |                                             herald's gaiters
             Mavi Tathlum |          1 |            NOT FOUND | BLU                                                                                      |                                                 mavi tathlum
          Menelaus's Ring |          1 |           Wardrobe 4 | SCH                                                                                      |                                              Menelaus's ring
             Iga Tekko +2 |          1 |            NOT FOUND | NIN                                                                                      |                                                 iga tekko +2
            Dynasty Mitts |          1 |            NOT FOUND | WHM                                                                                      |                                                dynasty mitts
               Vexer Ring |          1 |            NOT FOUND | PLD                                                                                      |                                                   vexer ring
             Beithir Ring |          1 |           Wardrobe 4 | BLU                                                                                      |                                                 Beithir ring
         Earthcry Earring |          1 |            NOT FOUND | BST                                                                                      |                                             earthcry earring
            Novio Earring |          1 |            NOT FOUND | RNG                                                                                      |                                                novio earring
           Erilaz Earring |          1 |            NOT FOUND | RUN                                                                                      |                                               erilaz earring
             Yarak Torque |          1 |           Wardrobe 7 | WAR                                                                                      |                                                 yarak torque
          Agoge Lorica +3 |          1 |            NOT FOUND | WAR                                                                                      |                                              agoge lorica +3
         Crematio Earring |          1 |            NOT FOUND | GEO                                                                                      |                                             crematio earring
          Bleating Mantle |          1 |            NOT FOUND | BST                                                                                      |                                              bleating mantle
         Dashing Subligar |          1 |            NOT FOUND | RDM                                                                                      |                                             dashing subligar
              Shadow Ring |          1 |               Locker | PLD                                                                                      |                                                  shadow ring
             Beeline Ring |          1 |            NOT FOUND | NIN                                                                                      |                                                 beeline ring
            Mel. Crown +2 |          1 |            NOT FOUND | MNK                                                                                      |                                               melee crown +2
          Mdk. Shalwar +1 |          1 |            NOT FOUND | SMN                                                                                      |                                          Marduk's shalwar +1
            Bougonia Rope |          1 |            NOT FOUND | WHM                                                                                      |                                                bougonia rope
            Kog. Tekko +2 |          1 |            NOT FOUND | NIN                                                                                      |                                                koga tekko +2
        Malison Medallion |          1 |            NOT FOUND | BRD                                                                                      |                                            malison medallion
          Khimaira Bonnet |          1 |           Wardrobe 6 | BST                                                                                      |                                              khimaira bonnet
         Argocham. Mantle |          1 |            NOT FOUND | BST                                                                                      |                                           argochampsa mantle
          Chatoyant Staff |          1 |            NOT FOUND | WHM                                                                                      |                                              chatoyant staff
              Bagua Tunic |          1 |            NOT FOUND | GEO                                                                                      |                                                  bagua tunic
           Alaunus's Cape |          1 |            NOT FOUND | WHM                                                                                      |                                               Alaunus's cape
         Viti. Chapeau +3 |          1 |            NOT FOUND | RDM                                                                                      |                                         vitiation chapeau +3
          Mummu Jacket +2 |          1 |            NOT FOUND | NIN                                                                                      |                                              Mummu jacket +2
         Nvrch. Bottes +2 |          1 |            NOT FOUND | COR                                                                                      |                                          navarch's bottes +2
          Amalric Doublet |          1 |            NOT FOUND | SCH                                                                                      |                                              amalric doublet
       Nvrch. Tricorne +2 |          1 |            NOT FOUND | COR                                                                                      |                                        navarch's tricorne +2
             Iga Ningi +2 |          1 |            NOT FOUND | NIN                                                                                      |                                                 iga ningi +2
        Rune. Trousers +1 |          1 |            NOT FOUND | RUN                                                                                      |                                          runeist trousers +1
          Convoker's Horn |          1 |            NOT FOUND | SMN                                                                                      |                                              convoker's horn
         Anchor. Crown +1 |          1 |            NOT FOUND | MNK                                                                                      |                                         anchorite's crown +1
      Nourish. Earring +1 |          1 |           Wardrobe 2 | PLD                                                                                      |                                        nourishing earring +1
        Futhark Mitons +1 |          1 |            NOT FOUND | RUN                                                                                      |                                            futhark mitons +1
          Piety Bliaut +3 |          1 |            NOT FOUND | WHM                                                                                      |                                              piety bliaut +3
        Creed Sabatons +2 |          1 |            NOT FOUND | PLD                                                                                      |                                            creed sabatons +2
         Plun. Armlets +1 |          1 |            NOT FOUND | THF                                                                                      |                                       plunderer's armlets +1
        Caller's Pgch. +2 |          1 |            NOT FOUND | SMN                                                                                      |                                         caller's pigaches +2
          Medium's Sabots |          1 |            NOT FOUND | BLU                                                                                      |                                              medium's sabots
         Call. Doublet +2 |          1 |            NOT FOUND | SMN                                                                                      |                                          caller's doublet +2
               Volte Hose |          1 |            NOT FOUND | RNG                                                                                      |                                                   volte hose
              Pinga Pants |          1 |            NOT FOUND | BLU                                                                                      |                                                  Pinga pants
             Cibitshavore |          1 |            NOT FOUND | SAM                                                                                      |                                                 Cibitshavore
        Tantra Gaiters +2 |          1 |            NOT FOUND | MNK                                                                                      |                                            tantra gaiters +2
              Fervor Ring |          1 |            NOT FOUND | SMN                                                                                      |                                                  fervor ring
            Pumm. Mask +1 |          1 |            NOT FOUND | WAR                                                                                      |                                           pummeler's mask +1
            Ryuo Tekko +1 |          1 |           Wardrobe 5 | MNK                                                                                      |                                                ryuo tekko +1
             Cascade Belt |          1 |            NOT FOUND | SMN                                                                                      |                                                 cascade belt
           Acro Gauntlets |          1 |            NOT FOUND | BST                                                                                      |                                               acro gauntlets
           Cab. Gauntlets |          1 |            NOT FOUND | PLD                                                                                      |                                        caballarius gauntlets
          Boii Earring +1 |          1 |           Wardrobe 2 | WAR                                                                                      |                                              boii earring +1
            Vengeful Ring |          1 |           Wardrobe 8 | COR                                                                                      |                                                vengeful ring
            Hagondes Coat |          1 |            NOT FOUND | SMN                                                                                      |                                                Hagondes coat
            Longshot Ring |          1 |            NOT FOUND | SAM                                                                                      |                                                longshot ring
         Nukumi Ocreae +1 |          1 |            NOT FOUND | BST                                                                                      |                                             nukumi ocreae +1
          Totemic Helm +1 |          1 |            NOT FOUND | BST                                                                                      |                                              totemic helm +1
              Pinga Tunic |          1 |            NOT FOUND | BLU                                                                                      |                                                  Pinga tunic
             Bokwus Slops |          1 |            NOT FOUND | SMN                                                                                      |                                                 Bokwus slops
               Carb. Ring |          1 |            NOT FOUND | BST                                                                                      |                                               Carbuncle ring
        Flamma Korazin +2 |          1 |            NOT FOUND | WAR                                                                                      |                                            flamma korazin +2
            Crudelis Belt |          1 |            NOT FOUND | BST                                                                                      |                                                crudelis belt
       Nomkah. Mittens +1 |          1 |            NOT FOUND | BST                                                                                      |                                          Nomkahpa mittens +1
         Beatific Earring |          1 |            NOT FOUND | WHM                                                                                      |                                             beatific earring
            Miki. Cuisses |          1 |            NOT FOUND | BST                                                                                      |                                             mikinaak cuisses
           Hearty Earring |          1 |            NOT FOUND | BLM                                                                                      |                                               hearty earring
            Hachiya Tekko |          1 |            NOT FOUND | NIN                                                                                      |                                                hachiya tekko
             Strendu Ring |          1 |            NOT FOUND | WHM                                                                                      |                                                 strendu ring
            Honed Tathlum |          1 |            NOT FOUND | MNK                                                                                      |                                                honed tathlum
       Chass. Tricorne +2 |          1 |            NOT FOUND | COR                                                                                      |                                       chasseur's tricorne +2
             Cab. Coronet |          1 |            NOT FOUND | PLD                                                                                      |                                          caballarius coronet
